content,translated_content,polarity,sentiment
sistem masalah unggah dokumen kamera hasil buram aju tolak,system problem uploading documents camera blurry results submit reject,0.0,netral
admin tolong kali verifikasi tolak foto stnk anggap hitam putih foto salin asli foto berkas stnk asli pakai iphone hasil buram png jpg jpeg tolong kasih solusi,"Admin please help me verify the STNK photo, consider it black and white, copy the original photo, original STNK file photo using iPhone, blurry result, png, jpg, jpeg, please provide a solution",0.14583333333333334,positif
bayar gas bumi login,pay natural gas login,0.1,positif
unggah stnk gagal,STNK upload failed,-0.5,negatif
data tolak terang libat halang kamera aplikasi web buram aneh,data reject bright involve block camera application web blurry strange,0.325,positif
aplikasi nyaman daftar foto kamera aplikasi unggah stnk fokus susah daftar barcode,convenient application register camera photo application upload STNK focus difficult register barcode,-0.5,negatif
akses halaman subsidi refresh halaman aplikasi bumn aplikasi anak magang buang label bumn mu malu malu in,"access the subsidy page, refresh the SOE application page, intern application, throw away your SOE label, shame on you",0.0,netral
tolak foto stnk foto kamera aplikasi buruk foto fokus besar,reject photo vehicle registration certificate photo camera application bad photo large focus,-0.24285714285714277,negatif
pulang update sistem enak susah aneh,home update system good difficult strange,0.04999999999999999,positif
sistem sibuk ikut atur susah,"busy system, hard to manage",-0.09583333333333334,negatif
tolong baik subsidi tepat pegawai spbu barcode menit kemarin kemarin foto ubah kamera bawa handphone kamera google buruk buram,please good subsidy right employee gas station barcode minutes yesterday yesterday photo change camera bring cellphone google camera bad blurry,0.09523809523809527,positif
bintang lanjut,advanced star,0.4,positif
bantu,help,0.0,netral
coba daftar ulang kirim adu alamat email hasil kendara daftar isi formulir keluh kali unit daftar bantu,try re-register send email address complaint results driving list fill out complaint form times unit register help,-0.3,negatif
oke,Okay,0.5,positif
unggah stnk ambil galeri langsung ambil foto kamera cembung normal jatuh sulit mudah,"upload vehicle registration certificate, take gallery directly, take photo, normal convex camera, fall, difficult, easy",0.07666666666666667,positif
good,good,0.7,positif
tugas spbu tolak isi bahan bakar pertalite alas barcode masalah,gas station duty refuses to fill pertalite fuel due to barcode problem,-0.125,negatif
mantap,Excellent,1.0,positif
luncur notifikasi kirim selamat sistem sulit,launch notification send congratulations system difficult,-0.5,negatif
update posisi letak spbu nitik kebun kebun sesuai,update the position of the Nitik Kebun Kebun gas station according to,0.0,netral
update data efektif,effective data update,0.6,positif
tolong sulit masyarakat ekonomi tengah bawah pasang aplikasi registrasi hasil registrasi tolak lengkap data mobil lcgc beli bahan bakar susah ampun,"Please help, it's hard for the lower middle class to install the registration application, the registration results are rejected, complete LCGC car data, buying fuel is very difficult",-0.21041666666666667,negatif
mantap,Excellent,1.0,positif
turun bintang,down star,-0.15555555555555559,negatif
daftar tolak,reject list,0.0,netral
bagus,Good,0.7,positif
aplikasi bagus akses subsidi suruh foto stnk selesai sesuai mb error kamera aplikasi milik rating jelek bikin kesal opsi pilih galeri wow cerdas sulit orang saran pilih unggah galeri moga orang tanggung benah doa rasa pecat miskin,good application access subsidy ask for vehicle registration photo completed according to MB error camera application owned bad rating makes you annoyed option choose gallery wow smart difficult people suggestion choose upload gallery hopefully people will be responsible fix pray feel fired poor,-0.0982142857142857,negatif
promo please,promo please,0.0,netral
daftar langsung qr kek suruh tunggu lapor keluh selesai tunggu selesai tuju daftar roda roda menu bikin keluh tunggu bulan jam parah stnk bpkb jenis bahan bakar minyak solar masuk pertalite otomatis qr guna kacau sulit habis kek,register directly qr like told to wait report complain finished wait finished go to register wheel wheel menu make complain wait month hour severe stnk bpkb type of fuel diesel oil enter pertalite automatic qr use chaotic difficult finished like,-0.2,negatif
masuk chrome sandi pakai abjad aplikasi sandi nomor,chrome login password use alphabet application password number,0.0,netral
update pakai kamera bawa aplikasi aplikasi susah rakyat kamera dukung aplikasi kaya sampah,update using camera bring application application difficult people camera support application rich trash,-0.0625,negatif
baru unggah foto stnk bentuk jpg susah daftar subsidi tepar,"just uploaded a jpg photo of the vehicle registration certificate, it's hard to register for the Tepar subsidy",-0.2916666666666667,negatif
good,good,0.7,positif
buruk layan buruk buruk akses ratus juta orang gampang,bad service bad bad access hundreds of millions of people easy,-0.4166666666666666,negatif
kualitas bahan bakar minyak sampah mending isi shell vivo bp isi pertamax kaya ron cek tangki bahan bakar minyak keruh jernih,"The quality of the fuel is rubbish, it's better to fill it with Shell Vivo BP, fill it with Pertamax, rich in Ron, check the fuel tank, the oil is cloudy and clear",0.325,positif
oke,Okay,0.5,positif
salah sistem salah sistem salah sistem coba ratus kali hasil,wrong system wrong system wrong system try hundred times result,-0.5,negatif
lambat layan email phone sulit masyarakat mobil roda roda proses selesai desember februari,slow service email phone difficult people car wheels process finished december february,-0.4,negatif
muas,satisfied,0.5,positif
oke,Okay,0.5,positif
registrasi susah sulit cocok dinjadiin slogan kali kesal serius ubah bintang benar sistem,"registration is difficult, it is suitable to be used as a slogan when you are seriously annoyed, change the star system correctly",-0.11666666666666665,negatif
hai pertamina baik sistem usaha uang gin aplikasi tolong hormat direktur utama pt pertamina aplikasi susah rakyat daftar masuk sesuai stnk kendara tolak nomor polisi masuk beda daftar payah,"Hi Pertamina, good business system, money gin application, please respect the main director of PT Pertamina, the application is difficult for the people to register according to the vehicle registration certificate, the police number is rejected, different registration, it's hard to register",0.01499999999999998,positif
kesini sulit ambil foto stnk mobil galeri ambil foto fokus ukur foto enak enak versi ambil foto galeri update kek gin sulit ambil foto buram,here it's hard to take a photo of a car's vehicle registration certificate gallery take a photo focus measure the photo nice nice version take a photo gallery update like gin it's hard to take a blurry photo,0.15416666666666662,positif
aplikasi buruk bantu sulit,bad app help hard,-0.49583333333333324,negatif
konoha bagong up load foto stnk pajak susah ampun,Konoha Bagong uploading photos of tax certificates is hard to forgive,-0.2916666666666667,negatif
alhamdulillah bantu,thank God it helps,0.0,netral
tolak daftar barcode gara foto stnk payah pertamina,Reject barcode registration because Pertamina's STNK photo is poor,-0.4,negatif
foto stnk kamera aplikasi susah foto buram tolak daftar subsidi sengaja sulit rakyat subsidi fitur foto ambil galeri foto stnk pakai kamera aplikasi buruk,STNK photo camera application difficult blurry photo reject subsidy list deliberately difficult people subsidy photo feature take STNK photo gallery using camera bad application,-0.5666666666666665,negatif
beli mobil second barcode isi bensin pertalite daftar daftar jual mobil barcode kak sulit beli bahan bakar mohon bijak terima kasih,buy a second hand car barcode fill in Pertalite petrol register list of cars for sale barcode sis it's hard to buy fuel please be wise thank you,0.1361111111111111,positif
bagus,Good,0.7,positif
kembali mypertamina unggah foto galeri,back mypertamina upload gallery photo,0.0,netral
sulit daftar,hard to register,-0.2916666666666667,negatif
oke gas oke gas,okay gas okay gas,0.5,positif
turbo mantap,turbo steady,0.16666666666666666,positif
mantap,Excellent,1.0,positif
promo,promo,0.0,netral
sempurna,perfect,1.0,positif
daftar sulit,hard list,-0.2916666666666667,negatif
bpkb hasil pindai bpkb gadai beli unit,bpkb scan result bpkb pawn buy unit,0.0,netral
aplikasi,application,0.0,netral
aplikasi buruk gratis aplikasi aplikasi saking susah bikin qr kode manfaat bikin qr kode bukti aplikasi susah aplikasi bikin qr kode coba bikin aplikasi rakyat mudah bro,bad application free application application is so difficult to make a qr code benefits of making a qr code proof application is difficult application to make a qr code try making an easy people application bro,-0.17333333333333328,negatif
jangkau indonesia,reach indonesia,0.0,netral
kesini kendala daftar barcode unggah foto stnk pilih galeri foto langsung sulit daftar tunggu verifikasi kemarin tolong baik enak pilih unggah galeri,"here the problem is registering barcode uploading STNK photo, selecting photo gallery is difficult, registering waiting for verification yesterday, please be kind, easy, select upload gallery",0.17777777777777778,positif
cinta produk negeri bahan bakar minyak indonesia,love the products of the country of Indonesian fuel oil,0.5,positif
daftar subsidi salah sistem bulan baik,list of subsidy wrong system good month,0.09999999999999998,positif
efektif guna tindak verifikasi orang rajin bayar pajak bahan bakar minyak sulit,effective for verification of people who diligently pay fuel tax is difficult,0.04999999999999999,positif
data hack email balas,email hack data reply,0.0,netral
sistem buruk,bad system,-0.6999999999999998,negatif
bintang,star,0.0,netral
bantu,help,0.0,netral
update baru daftar subsidi sulit tunggu verifikasi kaya update,new update list of subsidies difficult to wait for verification like update,-0.18181818181818182,negatif
layan,service,0.0,netral
kasih barcode baca,give barcode read,0.0,netral
registrasi tuk unggah foto ktp stnk pakai aplikasi playstore google chrome,registration to upload KTP STNK photos using the Google Chrome Playstore application,0.0,netral
qr bayar kamera buram bayar aplikasi aplikasi mobile banking qr bayar,qr pay blurry camera pay application mobile banking application qr pay,0.0,netral
oke,Okay,0.5,positif
oke,Okay,0.5,positif
verifikasi email gagal kode otp aduh maksud hai mypertamina,email verification failed otp code ouch what does hi mypertamina mean,-0.40625,negatif
coba,try,0.0,netral
sulit masuk,hard to get in,-0.2916666666666667,negatif
tolong baik kali daftar error,please be kind to list the errors,0.6,positif
tolong benah aplikasi menu tukar poin kali barang kirim jelas korban php,"please fix the point exchange menu application, this time the goods are sent, it's clear that the victim is PHP",0.012500000000000004,positif
mohon baik sulit unggah file jpg foto terang bantu unggah file jpg,please help upload jpg file bright photo,0.7000000000000001,positif
mudah,easy,0.43333333333333335,positif
tingkat aplikasi layan bagus mantap pertamina,good service application level steady pertamina,0.4333333333333333,positif
barcode ulang susah ampun susah rakyat,"barcode reset is very difficult, people",-0.65,negatif
manfaat,benefit,0.0,netral
oke praktis,okay practical,0.5,positif
mantap,Excellent,1.0,positif
verifikasi data,data verification,0.0,netral
daftar sulit foto kali ktp suruh ulangin aneh aplikasi coba butuh pakai barcode pakai,register difficult photo times ktp asked to repeat strange application try need to use barcode use,-0.275,negatif
nice,nice,0.6,positif
sulit foto ktp gagal,difficult photo ktp failed,-0.5,negatif
sulit beli bahan bakar minyak pakai voucher kali kali gagal wal hasil tunggu jam isi bahan bakar minyak,"It's hard to buy fuel using vouchers, sometimes it fails, but the result is waiting for the fuel filling time",-0.39583333333333337,negatif
manfaat,benefit,0.0,netral
mantap,Excellent,1.0,positif
daftar barcode cepat verifikasi sulit aplikasi sampah,barcode list fast verification difficult trash application,-0.15,negatif
perdana isi pakai mypertamina ojol lancar mantap voucher subsidi ojol gojek aplikasi asli anak bangsa hehe,"First time filling using mypertamina ojol is smooth, great, ojol gojek subsidy voucher, original application from the nation's children, hehe",0.45625000000000004,positif
unggah foto galeri foto langsung tingkat bu tidak unggah foto stnk langsung ambil galeri foto ulang tolong baru susah daftar,upload photo gallery photo directly ma'am level not upload photo vehicle registration directly take photo gallery again please new difficult to register,-0.04090909090909091,negatif
kamera buram fokus foto stnk pakai iphone,blurry camera focus on STNK photo using iPhone,0.0,netral
aplikasi mudah sulit,easy difficult application,-0.033333333333333326,negatif
aplikasi buruk daftar suruh foto ktp tunggu verifikasi data selesai jam sulit aplikasi sampah,"bad application, list asked to take photo of ID card, wait for data verification to finish, difficult time, trash application",-0.5999999999999999,negatif
senang,like,0.0,netral
update buruk lot lambat gampang mypertamina lot enak fitur,bad update slow lot easy mypertamina lot nice features,0.00833333333333336,positif
keren,Cool,0.35,positif
mantap,Excellent,1.0,positif
buruk tunggu verifikasi data error,bad wait data verification error,-0.6999999999999998,negatif
tolong laa pom bensin kasih edc sulit isi mypertamina saran,"Please help, petrol stations provide EDC, it's hard to fill with MyPertamina, suggestions",-0.2916666666666667,negatif
foto ktp kotak gagal,photo ktp box failed,-0.5,negatif
pilih foto bagi subsidi pasu foto ktp stnk mobil foto handphone,"select photo for subsidy, photo of KTP, photo of vehicle registration, photo of cellphone",0.0,netral
oke,Okay,0.5,positif
bagus papua repot uang bayar duluan isi bahan bakar minyak,good papua bother money pay first fill up fuel oil,0.475,positif
registrasi,registration,0.0,netral
keluh jawab template hai mohon maaf tidak nyaman alami admin butuh data dukung admin solusi kendala sila sobat salah kanal interaksi pertamina call center instagram bantu kece bantu,complaint answer template hi sorry it's uncomfortable admin needs data support admin solution to the problem please friend wrong interaction channel pertamina call center instagram help cool help,-0.25833333333333336,negatif
oke,Okay,0.5,positif
asyik,fun,0.3,positif
bingung barcode kasihan paham perintah milik handphone android gagap teknologi hidup zaman serba urus,confused barcode poor understand command owned by android cellphone stuttering technology life era everything is taken care of,-0.4,negatif
mudah simpel,easy simple,0.21666666666666667,positif
oke,Okay,0.5,positif
aplikasi ganggu talang jambe spbu palembang,application disturbs gutter jambe gas station palembang,0.0,netral
ambil foto beranda,take a photo of the porch,0.0,netral
coba,try,0.0,netral
bagus,Good,0.7,positif
mantap,Excellent,1.0,positif
mantap,Excellent,1.0,positif
barcode update bulan takut salah contoh punya barcode pakai isi bahan bakar minyak takut barcode salin salah baru langsung verifikasi nomor telepon akun foto sulit,barcode update month afraid of wrong example have barcode use fill fuel oil afraid barcode copy wrong then immediately verify phone number account photo difficult,-0.54,negatif
mantap,Excellent,1.0,positif
salah input edit spbu bantu buat suruh bayar,"Wrong input, edit gas station, help order me to pay",-0.5,negatif
kasih bintang bagus kasih bintang,give a star nice give a star,0.6,positif
baik aplikasi ulang kali coba tolak sesuai nomor ktp maksud,"OK, try re-applying to reject the intended ID number",0.5,positif
daftar barcode,barcode list,0.0,netral
pertamina aplikasi update tanggal februari siang data mobil hilang mohon bantu,Pertamina application update February afternoon car data lost please help,0.0,netral
oke,Okay,0.5,positif
bagus,Good,0.7,positif
masuk nomor daftar login bilang format salah,"Enter the login list number, it says the format is wrong",-0.5,negatif
foto stnk unggah,upload vehicle registration photo,0.0,netral
mudah aktivitas hari,easy daily activities,0.21666666666666667,positif
oke,Okay,0.5,positif
aplikasi bagus unit pemberitahuan aplikasi sibuk,good app notification unit busy app,0.39999999999999997,positif
tolong bikin barcode mobil beli orang nama pasti plat mobil solusi bikin barcode mobil nama iya tunjuk solusi,please make a car barcode buy someone's name must be the car plate solution make a car barcode name yes show solution,0.0,netral
terima kasih aplikasi mudah unduh susah barcode,thank you easy application download difficult barcode,-0.033333333333333326,negatif
oke,Okay,0.5,positif
usaha pertamina bikin aplikasi lot,Pertamina's efforts to create a lot application,0.0,netral
bagus,Good,0.7,positif
nomor good,good number,0.7,positif
keren mantap mudah terima kasih,cool steady easy thank you,0.31666666666666665,positif
antri,queue,0.0,netral
bagus,Good,0.7,positif
barcode salah orang hak tolong pertamina tambah kode otp isi bahan bakar minyak,wrong person barcode right please Pertamina add OTP code to fill fuel oil,-0.10714285714285715,negatif
oke mypertamina,okay mypertamina,0.5,positif
barcode status pakai pegawai pom banyak kongkalikong ketap bensin nomor plat sesuai kasih ceper situ,barcode status use petrol station employees collude with many people to tap the petrol plate number according to the low price,0.25,positif
mudah,easy,0.43333333333333335,positif
mudah transaksi siap paket data handphone tab wifi spbu support mudah transaksi customer,easy transaction ready data package mobile phone tab wifi gas station support easy customer transaction,0.35555555555555557,positif
aplikasi bikin orang sulit susah keluh nomor tanggal desember komplain tanggal desember ikut up solved omong data mypertamina kendara volume silinder tulis roda sistem mending cancel kerja bisa susah orang,application makes people difficult to complain number December date complain December date join up solved say mypertamina data vehicle cylinder volume write wheel system better cancel work can be difficult for people,-0.16666666666666666,negatif
mantap,Excellent,1.0,positif
pakai mobil roda data tulis roda urus samsat tolong mudah praktis,use a car wheel data write wheel take care of samsat please easy practical,0.43333333333333335,positif
capai unduh aplikasi isi dana ovo spbu jalur my pertamina tutup alas ganggu jaring parah area sulawesi utara,reach download application fill ovo funds gas station my pertamina route closed base severe network disruption north sulawesi area,-0.45,negatif
aplikasi sinkron samsat ganti plat nomor daftar ulang sulit negeri konoha,samsat synchronization application change number plate re-registration difficult konoha country,-0.5,negatif
mantap,Excellent,1.0,positif
pikir kasih bintang,think of star love,0.5,positif
tele tele proses,long process,-0.05,negatif
sulit,difficult,-0.5,negatif
praktis driver online bantu pakai mypertamina bayar pakai saldo ovo,practical online driver helps use mypertamina pay using ovo balance,0.0,netral
pakai orang,use people,0.0,netral
oke,Okay,0.5,positif
good job,good job,0.7,positif
dukung handphone foto loading handphone dukung ambil galeri sayang foto stnk pilih galeri bantu daftar,support mobile phone photo loading mobile phone support take gallery dear photo vehicle registration select gallery help register,0.0,netral
admin biaya agen gas lpg,lpg gas agent fee admin,0.0,netral
voucher potong harga isi bahan bakar minyak voucher pakai,fuel price cut voucher use voucher,0.0,netral
good,good,0.7,positif
data agen gas daftar kosong susah cari gas melon kg,gas agent data empty list hard to find melon gas kg,-0.19583333333333336,negatif
kacau aplikasi daftar susah,messed up application list hard,-0.2916666666666667,negatif
mudah aman,easy safe,0.4666666666666667,positif
kode otp coba whatsapp pesan coba,otp code try whatsapp message try,0.0,netral
daftar guna lpg kg aplikasi lari website guna aplikasi dar informasi aplikasi guna lari website digital digital haha heran plat merah,list of uses for lpg kg application run website use application from information application use run website digital digital haha ​​wonder red plate,0.05,positif
mantap,Excellent,1.0,positif
mantap,Excellent,1.0,positif
dzolim,injustice,0.0,netral
daftar unduh beranda nik daftar,list download home nik list,0.0,netral
oke,Okay,0.5,positif
deteksi lokasi muncul tulis aplikasi deteksi lokasi google maps,location detection appears write google maps location detection application,0.0,netral
transaksi mypertamina poin,mypertamina points transaction,0.0,netral
bagus aplikasi,good app,0.7,positif
bantu,help,0.0,netral
bantu,help,0.0,netral
oke,Okay,0.5,positif
daftar pertalite subsidi gagal bolak pasang beberapa handphone gagal,list of subsidized pertalite failed to install several cellphones failed,-0.3333333333333333,negatif
gas kg langka,rare kg gas,0.3,positif
layan baik,good service,0.7,positif
aplikasi plat merah payah data darimana roda roda payah,red plate application is poor data from where are the wheels of the wheels poor,-0.26666666666666666,negatif
buruk,bad,-0.6999999999999998,negatif
oke,Okay,0.5,positif
kode qr muat data mobil,qr code load car data,0.0,netral
repot barcode mypertamina aplikasi tolong mudah,bother barcode mypertamina application please make it easy,0.43333333333333335,positif
guna telepon call center pulsa habis operator bicara perintah bikin susah rakyat,"to use the call center phone credit runs out, the operator gives orders that make it difficult for the people",-0.3,negatif
unggah foto kendara,upload vehicle photo,0.0,netral
pesan gas via website via telepon menit layan tugas dengar,order gas via website via telephone minutes service task listen,0.0,netral
beli gas elpiji non subsidi suruh beli aplikasi eh aplikasi putar kelas pertamina bikin aplikasi kaya gin,"buy non-subsidized LPG gas, ask to buy an application, oh the application is a Pertamina class, make an application like Gin",0.0,netral
aplikasi error buka qr kode halaman muat ulang baik error,application error open qr code page reload ok error,0.25,positif
aplikasi manfaat bayar mypertamina spbu tolak kali alas terima cash kecewa,mypertamina gas station payment benefit application rejected times disappointed cash receipt,-0.75,negatif
innova pertalite,innova petrol,0.0,netral
halaman verifikasi kode verifikasi kirim kirim whatsapp pesan ulang nomor daftar sulit,verification page verification code send send whatsapp message repeat number register difficult,-0.5,negatif
bagus,Good,0.7,positif
kecewa voucher pakai potong dana linkaja,disappointed vouchers use linkaja funds deductions,-0.75,negatif
gas warung kelontong agen bagi kalo beli usaha berat,gas grocery store agent for if buying heavy business,-0.2,negatif
spbu tempat jalan betoambari kota baubau boleh bayar pakai mypertamina wajib bayar tunai sayang,"gas station on Jalan Betoambari, Baubau city, you can pay using MyPertamina, you have to pay in cash, dear.",0.0,netral
layan pds semua semua layan pds,serve all pds all serve pds,0.0,netral
nama perintah beres sadar masyarakat kasih bintang ulas kritis beres mudah sulit,command name done aware community give star critical review done easy difficult,0.04583333333333334,positif
alamat gagal ulang beli gas bingung,address failed to re-purchase gas confused,-0.45,negatif
tolong sistem kondisi lapang masak gara gara stock stnk samsat habis daftar bahan bakar minyak subsidi unggah stnk habis stock unggah stempel samsat,"please help the field condition system cook because the stock of STNK SAMSAT has run out, list of subsidized fuels, upload STNK, stock runs out, upload SAMSAT stamps",0.0,netral
keren,Cool,0.35,positif
cek mypertamina,check mypertamina,0.0,netral
pegawai ramah pecat bintang sikap daerah bandar lampung samping sekolah taman siswa teluk betung perempuan tanggal februari jam nyaman layan peduli sombong,friendly staff fire star attitude area bandar lampung next to taman siswa school teluk betung female date february hours comfortable service caring arrogant,0.19375,positif
aplikasi daftar buruk sulit,bad list app hard,-0.49583333333333324,negatif
selalu isi pakai kode qr lihat riwayat proses transaksi guna kode kosong,"always fill in using the QR code, see the transaction process history using the empty code",-0.1,negatif
mantap,Excellent,1.0,positif
aplikasi bantu jangkau luas,wide reach assistance application,-0.1,negatif
oke mantap,okay great,0.65,positif
minggu coba daftar gagal registrasi suruh coba coba minggu coba ubah pakai barcode sulit daftar tolong mypertamina baik aplikasi biar masyarakat mudah akses daftar masyarakat senang mypertamina senang terima kasih,Sunday tried to register failed registration told to try try Sunday tried change using barcode difficult to register please mypertamina good application so that people can easily access registration people are happy mypertamina happy thank you,0.2888888888888889,positif
bantu buat barcode terima kasih pertamina,help make barcode thank you pertamina,0.0,netral
aplikasi bagusbisa bayar online qris subsidi terima kasih,good application can pay online qris subsidies thank you,0.7,positif
data plat kendara isi sesuai arah eh sandi salah mau pertamina,vehicle plate data filled in according to the direction eh wrong password want Pertamina,-0.04999999999999999,negatif
mudah beli bahan bakar minyak,easy to buy fuel oil,0.43333333333333335,positif
kelas pertamina bikin sesat,Pertamina class makes you astray,0.0,netral
manjay mantap jaya,"spoiled, steady, victorious",0.16666666666666666,positif
maaf kasih bintang mohon baik lokasi tolong arah aplikasi maps salah mohon baca admin pertamina,sorry give a star please correct location please directions maps application is wrong please read admin pertamina,-0.5,negatif
mantap,Excellent,1.0,positif
aplikasi dana mudah,easy fund application,0.43333333333333335,positif
mudah,easy,0.43333333333333335,positif
bantu,help,0.0,netral
kembang tolong baik error maps recall jhonson base camp hero mentang isi pertalite hero recall langsung room,flower please be good error maps recall jhonson base camp hero mentang fill pertalite hero recall immediately room,-0.050000000000000044,negatif
susah daftar susah,hard to register hard,-0.2916666666666667,negatif
tolong tambah menu lokasi pangkal lpg,please add lpg base location menu,-0.8,negatif
history otomatis masuk,history automatically entered,0.0,netral
terima kasih mypertamina is good,thank you mypertamina is good,0.7,positif
praktis,practical,0.0,netral
bantu beli bahan bakar minyak pertamina,help buy Pertamina fuel oil,0.0,netral
voucher sampah beli pilih bayar voucher,garbage voucher buy choose pay voucher,0.0,netral
bintang nol mah nol kali kali unggah ktp terang aplikasi baca si alas tolak foto aneh,zero star is zero times upload ktp bright application read the base reject strange photos,-0.04999999999999999,negatif
aplikasi fitur buruk lepas koneksi bayar gopay bilang tingkat sistem email customer service balas,bad feature application disconnect pay gopay say system level email customer service reply,-0.6999999999999998,negatif
sulit pakai barcode mobil mewah isi,hard to use luxury car barcode contents,-0.2916666666666667,negatif
aplikasi mypertamina cek pom dekat isi bahan bakar minyak subsidi rubah daftar mobil diesel bensintrim,mypertamina application check nearby gas stations fill subsidized fuel change list of diesel petrol cars trim,0.0,netral
canggih pertamina akan halus batas subsidi bahan bakar minyak guna mobil stnk proses urus gerai isi minyak nama pertamina boleh isi bahan bakar minyak subsidi barcode,"sophisticated pertamina will smooth the fuel subsidy limit for cars, STNK, process of managing fuel filling outlets, Pertamina name, may fill subsidized fuel, barcode",0.45,positif
kirim data kendara,send vehicle data,0.0,netral
ulang,repeat,0.0,netral
lambat error buffering masalah,slow error buffering problem,-0.30000000000000004,negatif
akun tulis muat ulang muat ulang muat ulang muat ulang klik muat ulang kacau aplikasi,account write reload reload reload reload reload click reload messed up app,0.0,netral
parah aplikasi pakai spbu pertamina,Serious application using Pertamina gas station,-0.3333333333333333,negatif
mantap,Excellent,1.0,positif
lambat,slow,-0.30000000000000004,negatif
tingkat mutu layan terima kasih,level of service quality thank you,0.0,netral
mantap,Excellent,1.0,positif
oke,Okay,0.5,positif
serba sulit daftar login sulit login,all difficult register login difficult login,-0.5,negatif
logout login pakai nik,logout login using nik,0.0,netral
mantap,Excellent,1.0,positif
nice,nice,0.6,positif
transaksi cepat mudah pegawai spbu ug ramah,"fast easy transaction, friendly gas station staff",0.3361111111111111,positif
daftar kendara error coba ulang kali error salah sistem qr kode spbu layan qr mohon baik sistem,vehicle list error try again error wrong system qr code gas station qr service please system,-0.5,negatif
baru aplikasi hapus,new app delete,0.13636363636363635,positif
cepat,fast,0.2,positif
super,super,0.3333333333333333,positif
tolong mantap up pakai banking,please steady up using banking,0.16666666666666666,positif
keren,Cool,0.35,positif
oke tahan sinyal bagus,okay hold signal good,0.6,positif
susah masuk data kendara subsidi tolak,Difficult to enter rejected subsidy vehicle data,-0.5,negatif
update navigasi maps hubung kartu debit gagal ulang ulang,update navigation maps connect debit card failed retry,-0.5,negatif
mantap,Excellent,1.0,positif
registrasi mypertamina isi pertalite mobil jalan yogya bandung eh isi pertalite cek mypertamina perintah muat ulang klik kali telepon data data aneh aplikasi turun bintang,mypertamina registration fill pertalite car road yogya bandung eh fill pertalite check mypertamina command reload click times phone data strange data application down star,-0.1027777777777778,negatif
kecewa sengaja isi saldo bayar pakai aplikasi pom guna aplikasi,disappointed intentionally fill balance pay using application pom use application,-0.75,negatif
harga pertamax rp wajar naik perlahan rp rp rp keri naik harga bahan bakar minyak kualitas pertamax suka delay naik harga pertamax cekik,Pertamax price rp is reasonable to increase slowly rp rp rp keri increase in fuel price Pertamax quality often delays increase in Pertamax price is strangling,-0.05000000000000002,negatif
gopay tabung sulit pakai ovo,Gopay Tabung is difficult to use OVO,-0.5,negatif
bantu masyarakat minyak habis langgar,help the oil community,0.0,netral
suruh pakai aplikasi error,ask to use application error,0.0,netral
minggu daftar kendara kena gagal sistem hubung call center kali solusi masuk data nomor dihubungin ubah gagal sistem hubung kait kendala,Sunday vehicle registration failed call center connection system solution entered data number contacted changed failed connection system hook problem,-0.3666666666666667,negatif
good job,good job,0.7,positif
layan,service,0.0,netral
aplikasi update,update application,0.0,netral
bagus,Good,0.7,positif
mantap,Excellent,1.0,positif
oke,Okay,0.5,positif
bagus,Good,0.7,positif
mantap,Excellent,1.0,positif
good,good,0.7,positif
bingung habis bahan bakar minyak bulan,confused about running out of fuel this month,-0.4,negatif
panggil video call antri tunggu jam susah,call video call queue wait hours difficult,-0.5,negatif
admin daftar alat tani yah,admin list of farming tools yeah,0.0,netral
mudah proses,easy process,0.43333333333333335,positif
terima kasih ban uan,thank you brother,0.0,netral
oke,Okay,0.5,positif
kecewa aplikasi data hilang update masuk data error nomor handphone daftar akibat milik kendara rugi hilang barcode,disappointed application data lost update enter data error mobile phone number register due to vehicle ownership loss lost barcode,-0.4375,negatif
tarik bantu,pull help,0.0,netral
keren,Cool,0.35,positif
mohon step mudah,please easy steps,0.43333333333333335,positif
oke,Okay,0.5,positif
error customer respon,customer response error,0.0,netral
oke,Okay,0.5,positif
mantap,Excellent,1.0,positif
mantap,Excellent,1.0,positif
akun mypertamina sulit akun bikin sulit pakai ribu orang wajar error sulit buat,"mypertamina account is difficult to create an account, it is difficult to use thousands of people, it is natural that the error is difficult to create",-0.35,negatif
oke,Okay,0.5,positif
excellent,excellent,1.0,positif
orang susah kerja driver on line grab barcode subsidi mypertamina pakai subsidi pertamina jalan kerja driver online mohon sedia layan subsidi pertamina sudi bantu driver online terima kasih sedia aplikasi subsidi,people have trouble working as online drivers grab barcode subsidies mypertamina use pertamina subsidies work way online drivers please provide subsidy services pertamina is willing to help online drivers thank you provide subsidy applications,0.024999999999999994,positif
aplikasi buruk ganggu mudah jaring bagus pemberitahuan suruh muat ulang kocak,bad app annoying easy good net notification tell to reload funny,-0.019444444444444448,negatif
bantu,help,0.0,netral
hubung link isi bensin,link link fill petrol,0.0,netral
barcode aneh,strange barcode,-0.05,negatif
pom bensin ub samping rumah sakit antonio baturaja sumsel isi full bayar pakai mypertamina nominal full sistem rugi mantap up kena biaya lebih uang cash guna aplikasi rugi terima kasih,ub gas station next to antonio hospital baturaja south sumsel fill up pay using mypertamina full nominal loss system steady up charged more cash use application loss thank you,0.25416666666666665,positif
good,good,0.7,positif
layan spbu maksimal,maximum gas station service,0.0,netral
mantap,Excellent,1.0,positif
